gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt,loc_pelny,topologia
Prr14,otoczka,True,True,True,False,nazwa,Prr14,11292,67.89,0.518,0.538,0.474,0.179,,,,,0.599,0.516,0.527,0.573,0.517,0.535,0.502,0.442,0.507,69.13,81.33,71.88,73.42,65.15,70.49,58.82,56.16,69.15,"SUBCELLULAR LOCATION: Chromosome {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus lamina {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BWN1}. Note=During interphase, associated with peripheral heterochromatin at the nuclear lamina. Released from the nuclear lamina in mitotic prophase and remains highly dispersed in metaphase. Associate","SUBCELLULAR LOCATION: Chromosome {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus lamina {ECO:0000250|UniProtKB:Q9BWN1}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9BWN1}. Note=During interphase, associated with peripheral heterochromatin at the nuclear lamina. Released from the nuclear lamina in mitotic prophase and remains highly dispersed in metaphase. Associates with chromatin at the onset of anaphase and relocalizes to the nuclear lamina in telophase. {ECO:0000250|UniProtKB:Q9BWN1}.",INM_niedostepny
Nlrp6,otoczka,True,True,False,True,nazwa,Nlrp6,12,0.07,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.03,0.0,0.0,0.25,0.18,0.14,0.07,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000269|PubMed:30248149, ECO:0000269|PubMed:34678144}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000250|UniProtKB:P59044}. Cell membrane {ECO:0000250|UniProtKB:Q63035}. Nucleus membrane {ECO:0000250|UniProtKB:Q63035}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000269|PubMed:30248149, ECO:0000269|PubMed:34678144}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Inflammasome {ECO:0000250|UniProtKB:P59044}. Cell membrane {ECO:0000250|UniProtKB:Q63035}. Nucleus membrane {ECO:0000250|UniProtKB:Q63035}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250|UniProtKB:Q63035}. Cell membrane {ECO:0000250|UniProtKB:Q63035}. Note=Predominantly expressed in the cell membrane. {ECO:0000250|UniProtKB:Q63035}.",NIEOKRESLONY
Ccnd1,otoczka,True,True,False,True,nazwa,Ccnd1,556,3.34,0.015,0.015,0.016,-0.057,,,,,0.015,0.017,0.016,0.012,0.015,0.012,0.017,0.021,0.012,3.22,4.0,3.89,3.11,3.13,3.06,4.04,3.86,2.85,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19767775}. Cytoplasm {ECO:0000250|UniProtKB:P24385}. Nucleus membrane {ECO:0000250|UniProtKB:P24385}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated into the nucleus through interaction with KIP/CIP family members. {ECO:0000250|UniProtKB:P24385}.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19767775}. Cytoplasm {ECO:0000250|UniProtKB:P24385}. Nucleus membrane {ECO:0000250|UniProtKB:P24385}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated into the nucleus through interaction with KIP/CIP family members. {ECO:0000250|UniProtKB:P24385}.,NIEOKRESLONY
Syne1,otoczka,True,True,False,True,nazwa,Syne1,16154,97.11,2.312,2.245,2.442,-0.121,,,,,1.972,2.402,2.252,2.29,2.201,2.362,2.234,2.506,2.377,93.25,97.33,97.51,98.06,95.71,97.2,95.22,97.3,97.82,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere {ECO:0000250}. Note=The largest part of the protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membr","SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere {ECO:0000250}. Note=The largest part of the protein is cytoplasmic, while its C-terminal part is associated with the nuclear envelope, most probably the outer nuclear membrane. In skeletal and smooth muscles, a significant amount is found in the sarcomeres (By similarity). {ECO:0000250}.",ONM_dostepny
Myct1,otoczka,True,True,True,False,nazwa,Myct1,57,0.34,0.001,0.002,0.001,0.126,,,,,0.002,0.0,0.001,0.002,0.002,0.001,0.003,0.001,0.001,0.48,0.0,0.42,0.55,0.49,0.25,0.74,0.14,0.17,SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,NIEOKRESLONY
Nup43,otoczka,True,True,True,False,nazwa,Nup43,5357,32.21,0.174,0.178,0.167,0.087,,,,,0.183,0.166,0.176,0.179,0.184,0.165,0.19,0.166,0.168,28.3,40.0,34.3,34.52,31.68,33.21,29.04,26.03,33.24,"SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nuclear pore complex {ECO:0000250}.","SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nuclear pore complex {ECO:0000250}.",POR_niepewny
Ranbp2,otoczka,True,True,True,False,nazwa,Ranbp2,13809,83.02,0.933,0.946,0.931,0.023,,,,,0.824,1.126,0.928,0.904,0.876,1.092,0.871,0.91,0.952,75.56,94.67,85.16,83.19,79.76,87.0,76.84,78.9,85.13,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P49792}. Nucleus membrane {ECO:0000250|UniProtKB:P49792}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P49792}. Nucleus envelope {ECO:0000250|UniProtKB:P49792}. Note=Detected in diffuse and discrete intranuclear foci. Cytoplasmic filaments. {ECO:0000250|UniProtKB:P49792}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P49792}. Nucleus membrane {ECO:0000250|UniProtKB:P49792}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P49792}. Nucleus envelope {ECO:0000250|UniProtKB:P49792}. Note=Detected in diffuse and discrete intranuclear foci. Cytoplasmic filaments. {ECO:0000250|UniProtKB:P49792}.",POR_niepewny
Dnajb12,otoczka,True,True,False,True,nazwa,Dnajb12,4778,28.72,0.142,0.157,0.132,0.234,,,,,0.17,0.187,0.135,0.143,0.145,0.153,0.165,0.121,0.142,29.58,42.67,29.77,30.36,26.85,32.38,26.65,21.29,30.34,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9NXW2}. Note=Localizes to the endoplasmic reticulum membrane. When overexpressed, forms membranous structures in the nucleus. {ECO:0000250|UniProtKB:Q9NXW2}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q9NXW2}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9NXW2}. Note=Localizes to the endoplasmic reticulum membrane. When overexpressed, forms membranous structures in the nucleus. {ECO:0000250|UniProtKB:Q9NXW2}.",NIEOKRESLONY
Mcm3ap,otoczka,True,True,False,True,nazwa,Mcm3ap,4914,29.54,0.14,0.146,0.137,0.086,,,,,0.142,0.169,0.137,0.14,0.14,0.146,0.149,0.132,0.142,25.08,38.67,31.03,31.47,28.37,33.46,25.18,22.5,31.17,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10733502, ECO:0000269|PubMed:20507984}. Nucleus {ECO:0000269|PubMed:10733502, ECO:0000269|PubMed:20507984}. Nucleus envelope {ECO:0000250|UniProtKB:O60318}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O60318}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:O60318}. Chromosome {ECO:0000250|UniProtKB:O60318}. Note=In stimulated B-cells, selec","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10733502, ECO:0000269|PubMed:20507984}. Nucleus {ECO:0000269|PubMed:10733502, ECO:0000269|PubMed:20507984}. Nucleus envelope {ECO:0000250|UniProtKB:O60318}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O60318}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:O60318}. Chromosome {ECO:0000250|UniProtKB:O60318}. Note=In stimulated B-cells, selectively targeted to immunoglobulin gene variable regions (PubMed:20507984). Predominantly located at the nuclear envelope, facing the nucleus interior (By similarity). Localization at the nuclear pore complex requires NUP153, TPR and ALYREF/ALY (By similarity). Also found associated with chromatin (PubMed:23652018). In B-cells, targeted to the immunoglobulin variable region genes (PubMed:20507984, PubMed:23652018). {ECO:0000250|UniProtKB:O60318, ECO:0000269|PubMed:20507984, ECO:0000269|PubMed:23652018}.",POR_niepewny
Agpat3,otoczka,True,True,False,True,nazwa,Agpat3,9792,58.87,0.38,0.392,0.376,0.059,,,,,0.437,0.43,0.372,0.397,0.365,0.374,0.372,0.358,0.393,57.4,70.67,61.39,62.1,54.83,60.04,51.65,50.31,62.26,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19114731}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRZ7}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19114731}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NRZ7}.,NIEOKRESLONY
Lmnb2,otoczka,True,True,True,False,nazwa,Lmnb2,1515,9.11,0.038,0.04,0.035,0.152,,,,,0.042,0.038,0.038,0.044,0.039,0.045,0.034,0.032,0.037,9.16,12.0,9.81,10.71,8.09,10.77,6.8,6.33,9.36,SUBCELLULAR LOCATION: Nucleus lamina {ECO:0000269|PubMed:28241138}.,SUBCELLULAR LOCATION: Nucleus lamina {ECO:0000269|PubMed:28241138}.,INM_niedostepny
Nup37,otoczka,True,True,True,False,nazwa,Nup37,2553,15.35,0.068,0.068,0.066,0.037,,,,,0.077,0.06,0.066,0.076,0.071,0.071,0.053,0.064,0.069,14.31,20.0,16.47,17.04,15.15,15.87,9.93,11.35,16.34,"SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nuclear pore complex {ECO:0000250}.","SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nuclear pore complex {ECO:0000250}.",POR_niepewny
Tmpo,otoczka,True,True,True,False,nazwa,Tmpo,2920,17.55,0.077,0.079,0.07,0.154,,,,,0.078,0.074,0.078,0.085,0.084,0.084,0.069,0.065,0.074,13.02,21.33,18.81,20.31,18.32,18.99,13.6,12.7,17.87,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Chromosome {ECO:0000250}. Note=Tightly associated with the nuclear lamina. {ECO:0000250}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Chromosome {ECO:0000250}. Note=Tightly associated with the nuclear lamina. {ECO:0000250}.,INM_niedostepny
Nav3,otoczka,True,True,False,True,nazwa,Nav3,13756,82.7,2.504,3.923,0.564,2.777,Aldoc_3,1.264,0.0,44.71,5.132,4.591,3.939,3.106,3.057,3.56,4.073,0.426,0.701,99.04,98.67,98.07,92.06,90.3,97.07,97.43,48.48,68.21,"SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000269|PubMed:12062803}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8IVL0}.","SUBCELLULAR LOCATION: Nucleus outer membrane {ECO:0000269|PubMed:12062803}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8IVL0}.",ONM_dostepny
Osbpl8,otoczka,True,True,False,True,nazwa,Osbpl8,11849,71.23,0.591,0.645,0.547,0.234,Aldoc_1,0.71,1.2919398114779014e-31,12.02,0.945,0.553,0.57,0.624,0.575,0.656,0.595,0.543,0.551,82.32,76.0,73.05,74.08,68.99,77.5,64.89,61.18,71.37,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9BZF1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9BZF1}. Nucleus membrane {ECO:0000250|UniProtKB:Q9BZF1}. Note=The presence of the N-terminus extension contains an overall negative charge that may explain the weak localization to the cortical endoplasmic reticulum. {ECO:0000250|UniProtKB:Q9BZF1}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9BZF1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9BZF1}. Nucleus membrane {ECO:0000250|UniProtKB:Q9BZF1}. Note=The presence of the N-terminus extension contains an overall negative charge that may explain the weak localization to the cortical endoplasmic reticulum. {ECO:0000250|UniProtKB:Q9BZF1}.,NIEOKRESLONY
Nup107,otoczka,True,True,True,False,nazwa,Nup107,4137,24.87,0.12,0.116,0.123,-0.078,,,,,0.117,0.096,0.114,0.111,0.12,0.123,0.132,0.122,0.124,20.58,28.0,25.69,24.97,23.28,25.75,20.77,21.39,27.51,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:P57740}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P57740}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P57740}. Note=Located on both the cytoplasmic and nuclear sides of the NPC core structure. During mitosis, localizes to the kinetochores. Dissociates from the disassembled NPC structure late during prophase o","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:P57740}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P57740}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P57740}. Note=Located on both the cytoplasmic and nuclear sides of the NPC core structure. During mitosis, localizes to the kinetochores. Dissociates from the disassembled NPC structure late during prophase of mitosis. {ECO:0000250|UniProtKB:P57740}.",POR_niepewny
Lemd3,otoczka,True,True,True,False,nazwa,Lemd3,8559,51.45,0.31,0.316,0.311,0.022,,,,,0.335,0.3,0.302,0.306,0.312,0.331,0.329,0.325,0.297,47.75,62.67,53.31,53.33,50.4,53.98,47.43,46.06,52.22,SUBCELLULAR LOCATION: Nucleus inner membrane; Multi-pass membrane protein.,SUBCELLULAR LOCATION: Nucleus inner membrane; Multi-pass membrane protein.,INM_niedostepny
Cdk4,otoczka,True,True,False,True,nazwa,Cdk4,2041,12.27,0.051,0.053,0.042,0.277,,,,,0.059,0.032,0.052,0.059,0.059,0.05,0.06,0.039,0.045,11.9,13.33,13.73,14.59,13.36,12.56,11.4,7.48,11.85,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P11802}. Nucleus {ECO:0000250|UniProtKB:P11802}. Nucleus membrane {ECO:0000250|UniProtKB:P11802}. Note=Cytoplasmic when non-complexed. Forms a cyclin D-CDK4 complex in the cytoplasm as cells progress through G(1) phase. The complex accumulates on the nuclear membrane and enters the nucleus on transition from G(1) to S phase. Also present in nu,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P11802}. Nucleus {ECO:0000250|UniProtKB:P11802}. Nucleus membrane {ECO:0000250|UniProtKB:P11802}. Note=Cytoplasmic when non-complexed. Forms a cyclin D-CDK4 complex in the cytoplasm as cells progress through G(1) phase. The complex accumulates on the nuclear membrane and enters the nucleus on transition from G(1) to S phase. Also present in nucleoli and heterochromatin lumps. Colocalizes with RB1 after release into the nucleus (By similarity). {ECO:0000250|UniProtKB:P11802}.,NIEOKRESLONY
Tmem194,otoczka,True,True,True,False,synonim,Nemp1,2489,14.96,0.072,0.072,0.073,-0.017,,,,,0.075,0.072,0.071,0.077,0.075,0.061,0.075,0.075,0.071,11.74,21.33,15.26,17.15,13.94,14.15,14.15,13.38,15.88,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:25946333}; Multi-pass membrane protein {ECO:0000255}; Nucleoplasmic side {ECO:0000250|UniProtKB:B9X187}. Nucleus envelope {ECO:0000269|PubMed:25946333, ECO:0000269|PubMed:36215313}. Note=Colocalizes with lamins and RAN-GTP at the nuclear envelope. {ECO:0000269|PubMed:25946333}.","SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:25946333}; Multi-pass membrane protein {ECO:0000255}; Nucleoplasmic side {ECO:0000250|UniProtKB:B9X187}. Nucleus envelope {ECO:0000269|PubMed:25946333, ECO:0000269|PubMed:36215313}. Note=Colocalizes with lamins and RAN-GTP at the nuclear envelope. {ECO:0000269|PubMed:25946333}.",INM_niedostepny
Pcid2,otoczka,True,True,False,True,nazwa,Pcid2,5195,31.23,0.153,0.16,0.14,0.181,,,,,0.148,0.164,0.148,0.166,0.16,0.164,0.173,0.129,0.152,26.05,41.33,32.88,34.18,31.05,34.1,26.47,22.65,33.05,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q5JVF3}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q5JVF3}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q5JVF3}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q5JVF3}.",POR_niepewny
Agpat5,otoczka,True,True,False,True,nazwa,Agpat5,10394,62.49,0.436,0.446,0.428,0.058,,,,,0.425,0.598,0.45,0.443,0.427,0.417,0.36,0.394,0.463,56.75,78.67,67.63,65.26,59.79,62.33,49.45,51.52,66.13,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NUQ2}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NUQ2}. Mitochondrion {ECO:0000250|UniProtKB:Q9NUQ2}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NUQ2}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000250|UniProtKB:Q9NUQ2}. Mitochondrion {ECO:0000250|UniProtKB:Q9NUQ2}.,NIEOKRESLONY
Tnks,otoczka,True,True,False,True,nazwa,Tnks,11437,68.76,0.521,0.532,0.536,-0.011,,,,,0.499,0.601,0.49,0.53,0.501,0.563,0.539,0.546,0.525,59.0,76.0,69.28,71.7,65.82,74.51,61.76,62.34,71.91,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O95271}. Golgi apparatus membrane {ECO:0000250|UniProtKB:O95271}; Peripheral membrane protein {ECO:0000250|UniProtKB:O95271}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O95271}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O95271}. Chromosome, telomere {ECO:0000250|UniProtKB:O95271}. Cytop","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O95271}. Golgi apparatus membrane {ECO:0000250|UniProtKB:O95271}; Peripheral membrane protein {ECO:0000250|UniProtKB:O95271}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O95271}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O95271}. Chromosome, telomere {ECO:0000250|UniProtKB:O95271}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:O95271}. Note=Associated with the Golgi and with juxtanuclear SLC2A4/GLUT4-vesicles. A minor proportion is also found at nuclear pore complexes and around the pericentriolar matrix of mitotic centromeres. During interphase, a small fraction of TNKS is found in the nucleus, associated with TERF1. Localizes to spindle poles at mitosis onset via interaction with NUMA1. {ECO:0000250|UniProtKB:O95271}.",POR_niepewny
Tmem38a,otoczka,True,True,True,False,nazwa,Tmem38a,11330,68.11,0.518,0.53,0.495,0.097,,,,,0.521,0.584,0.531,0.534,0.509,0.538,0.495,0.467,0.523,65.11,78.67,72.16,70.92,65.46,71.19,60.48,56.69,70.65,SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000250|UniProtKB:A5A6S6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:A5A6S6}. Nucleus membrane {ECO:0000250|UniProtKB:A5A6S6}.,SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000250|UniProtKB:A5A6S6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:A5A6S6}. Nucleus membrane {ECO:0000250|UniProtKB:A5A6S6}.,NIEOKRESLONY
Cnep1r1,otoczka,True,True,False,True,nazwa,Cnep1r1,8322,50.03,0.292,0.293,0.274,0.093,,,,,0.25,0.282,0.283,0.316,0.305,0.312,0.305,0.248,0.3,40.68,61.33,51.36,55.55,49.51,54.68,44.49,37.81,53.05,SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Filamentous pattern in the cytoplasm. {ECO:0000250}.,SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Filamentous pattern in the cytoplasm. {ECO:0000250}.,NIEOKRESLONY
Nup93,otoczka,True,True,True,False,nazwa,Nup93,15880,95.47,2.257,2.187,2.184,0.002,,,,,1.853,2.08,2.329,2.349,2.119,2.645,1.933,2.105,2.264,91.16,96.0,96.92,96.78,93.25,96.88,89.52,93.14,96.88,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q66HC5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q66HC5}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q8N1F7}. Nucleus envelope {ECO:0000269|PubMed:26878725}. Note=Localizes at the nuclear basket and at or near the nuclear entry to the gated channel of the pore. {ECO:0000250}.","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q66HC5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q66HC5}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q8N1F7}. Nucleus envelope {ECO:0000269|PubMed:26878725}. Note=Localizes at the nuclear basket and at or near the nuclear entry to the gated channel of the pore. {ECO:0000250}.",POR_niepewny
Ccdc79,otoczka,True,True,True,False,synonim,Terb1,2994,18.0,0.094,0.108,0.079,0.407,,,,,0.122,0.151,0.109,0.106,0.092,0.087,0.087,0.072,0.086,19.77,22.67,21.22,21.14,16.8,18.16,15.26,12.31,17.29,"SUBCELLULAR LOCATION: Chromosome, telomere {ECO:0000269|PubMed:24413433, ECO:0000269|PubMed:24885367}. Nucleus inner membrane {ECO:0000269|PubMed:26548954}. Note=Localizes to telomeres during meiotic prophase (PubMed:24413433). In leptotene spermatocytes, localizes to telomeres that localize to the nucleus inner membrane (PubMed:26548954). {ECO:0000269|PubMed:24413433, ECO:0000269|PubMed:26548954}","SUBCELLULAR LOCATION: Chromosome, telomere {ECO:0000269|PubMed:24413433, ECO:0000269|PubMed:24885367}. Nucleus inner membrane {ECO:0000269|PubMed:26548954}. Note=Localizes to telomeres during meiotic prophase (PubMed:24413433). In leptotene spermatocytes, localizes to telomeres that localize to the nucleus inner membrane (PubMed:26548954). {ECO:0000269|PubMed:24413433, ECO:0000269|PubMed:26548954}.",INM_niedostepny
Nutf2,otoczka,True,True,False,True,nazwa,Nutf2,7947,47.78,0.271,0.267,0.273,-0.031,,,,,0.243,0.332,0.259,0.278,0.264,0.277,0.219,0.244,0.302,39.55,62.67,49.18,51.39,44.41,50.92,34.93,37.61,53.36,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P61970}. Nucleus outer membrane {ECO:0000250|UniProtKB:P61972}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P61972}. Nucleus inner membrane {ECO:0000250|UniProtKB:P61972}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:P61970}. Note=At steady state it is essentially nucleoplasmic, enriched in nucleoplasmic foci. {ECO:0000250|Uni","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P61970}. Nucleus outer membrane {ECO:0000250|UniProtKB:P61972}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P61972}. Nucleus inner membrane {ECO:0000250|UniProtKB:P61972}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:P61970}. Note=At steady state it is essentially nucleoplasmic, enriched in nucleoplasmic foci. {ECO:0000250|UniProtKB:P61970}.",ONM+INM_mieszany
Ist1,otoczka,True,True,False,True,nazwa,Ist1,7521,45.21,0.247,0.257,0.228,0.166,,,,,0.285,0.253,0.26,0.258,0.242,0.255,0.245,0.211,0.245,45.5,57.33,49.85,49.17,41.11,47.36,35.85,34.19,47.39,"SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000250|UniProtKB:P53990}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P53990}. Midbody {ECO:0000250|UniProtKB:P53990}. Nucleus envelope {ECO:0000250|UniProtKB:P53990}. Note=Localizes to centrosome and midbody of dividing cells. Colocalized with SPART to the ends of Flemming bodies during cytokinesis. Loca","SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000250|UniProtKB:P53990}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P53990}. Midbody {ECO:0000250|UniProtKB:P53990}. Nucleus envelope {ECO:0000250|UniProtKB:P53990}. Note=Localizes to centrosome and midbody of dividing cells. Colocalized with SPART to the ends of Flemming bodies during cytokinesis. Localizes to the reforming nuclear envelope on chromatin disks during late anaphase. {ECO:0000250|UniProtKB:P53990}.",NIEOKRESLONY
